Player,#,Pos,Sh,Ht,Wt,Born,Birthplace
Ryan Graves,27,D,L,6′5″,222,1995-05-21,"Yarmouth, Nova Scotia, CAN"
Matt Grzelcyk,24,D,L,5′10″,180,1994-01-05,"Charlestown, Massachusetts, USA"
Erik Karlsson,65,D,R,6′0″,186,1990-05-31,"Landsbro, SWE"
Kris Letang,58,D,R,6′0″,193,1987-04-24,"Montréal, Quebec, CAN"
Marcus Pettersson,28,D,L,6′5″,174,1996-05-08,"Skelleftea, SWE"
Ryan Shea,5,D,L,6′1″,220,1997-02-11,"Milton, Massachusetts, USA"
Jack St. Ivany,3,D,R,6′4″,205,1999-07-22,"Manhattan Beach, California, USA"
